Key,Common Name,Scientific Name
WHYU,Whiskered Yuhina,Yuhina flavicollis
WNYU,White-naped Yuhina,Yuhina bakeri
STYU,Stripe-throated Yuhina,Yuhina gularis
RVYU,Rufous-vented Yuhina,Yuhina occipitalis
CFWE,Chestnut-flanked White-eye,Zosterops erythropleurus
IWEY,Indian White-eye,Zosterops palpebrosus
CCBA,Chestnut-capped Babbler,Timalia pileata
TBBA,Tawny-bellied Babbler,Dumetia hyperythra
DFBA,Dark-fronted Babbler,Dumetia atriceps
PSTB,Pin-striped Tit-Babbler,Mixornis gularis
GOBA,Golden Babbler,Cyanoderma chrysaeum
RFBA,Rufous-fronted Babbler,Cyanoderma rufifrons
BCBA,Black-chinned Babbler,Cyanoderma pyrrhops
RCBA,Rufous-capped Babbler,Cyanoderma ruficeps
RTWB,Rufous-throated Wren-Babbler,Spelaeornis caudatus
MWBA,Mishmi Wren-Babbler,Spelaeornis badeigularis
BWWB,Bar-winged Wren-Babbler,Spelaeornis troglodytoides
NWBA,Naga Wren-Babbler,Spelaeornis chocolatinus
CHWB,Chin Hills Wren-Babbler,Spelaeornis oatesi
TBWB,Tawny-breasted Wren-Babbler,Spelaeornis longicaudatus
BCSB,Black-crowned Scimitar-Babbler,Pomatorhinus ferruginosus
BCSB,Brown-crowned Scimitar-Babbler,Pomatorhinus phayrei
RBSB,Red-billed Scimitar-Babbler,Pomatorhinus ochraceiceps
SBSB,Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris
SBSB,Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis
WBSB,White-browed Scimitar-Babbler,Pomatorhinus schisticeps
ISBA,Indian Scimitar-Babbler,Pomatorhinus horsfieldii
LSBA,Large Scimitar-Babbler,Erythrogenys hypoleucos
RCSB,Rusty-cheeked Scimitar-Babbler,Erythrogenys erythrogenys
SBSB,Spot-breasted Scimitar-Babbler,Erythrogenys mcclellandi
GTBA,Gray-throated Babbler,Stachyris nigriceps
SWBB,Sikkim Wedge-billed Babbler,Stachyris humei
CWBB,Cachar Wedge-billed Babbler,Stachyris roberti
STBA,Snowy-throated Babbler,Stachyris oglei
INGR,Indian Grassbird,Graminicola bengalensis
WHBA,White-hooded Babbler,Gampsorhynchus rufulus
YTFU,Yellow-throated Fulvetta,Schoeniparus cinereus
RWFU,Rufous-winged Fulvetta,Schoeniparus castaneceps
RTFU,Rufous-throated Fulvetta,Schoeniparus rufogularis
RCFU,Rusty-capped Fulvetta,Schoeniparus dubius
PTBA,Puff-throated Babbler,Pellorneum ruficeps
MABA,Marsh Babbler,Pellorneum palustre
STBA,Spot-throated Babbler,Pellorneum albiventre
BBBA,Buff-breasted Babbler,Pellorneum tickelli
RVGB,Rufous-vented Grass Babbler,Laticilla burnesii
SGBA,Swamp Grass Babbler,Laticilla cinerascens
ABBA,Abbott's Babbler,Malacocincla abbotti
SWBA,Streaked Wren-Babbler,Gypsophila brevicaudata
EWBA,Eyebrowed Wren-Babbler,Napothera epilepidota
LBWB,Long-billed Wren-Babbler,Napothera malacoptila
BCFU,Brown-cheeked Fulvetta,Alcippe poioicephala
NEFU,Nepal Fulvetta,Alcippe nipalensis
STLA,Striated Laughingthrush,Grammatoptila striata
HICU,Himalayan Cutia,Cutia nipalensis
SCLA,Scaly Laughingthrush,Trochalopteron subunicolor
BCLA,Brown-capped Laughingthrush,Trochalopteron austeni
BWLA,Blue-winged Laughingthrush,Trochalopteron squamatum
STLA,Streaked Laughingthrush,Trochalopteron lineatum
BHLA,Bhutan Laughingthrush,Trochalopteron imbricatum
STLA,Striped Laughingthrush,Trochalopteron virgatum
VALA,Variegated Laughingthrush,Trochalopteron variegatum
BFLA,Black-faced Laughingthrush,Trochalopteron affine
ELLA,Elliot's Laughingthrush,Trochalopteron elliotii
CCLA,Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum
ASLA,Assam Laughingthrush,Trochalopteron chrysopterum
BALA,Banasura Laughingthrush,Montecincla jerdoni
NILA,Nilgiri Laughingthrush,Montecincla cachinnans
PALA,Palani Laughingthrush,Montecincla fairbanki
ASLA,Ashambu Laughingthrush,Montecincla meridionalis
LTSI,Long-tailed Sibia,Heterophasia picaoides
RUSI,Rufous Sibia,Heterophasia capistrata
BESI,Beautiful Sibia,Heterophasia pulchella
GRSI,Gray Sibia,Heterophasia gracilis
HTBA,Hoary-throated Barwing,Actinodura nipalensis
STBA,Streak-throated Barwing,Actinodura waldeni
BWMI,Blue-winged Minla,Actinodura cyanouroptera
CTMI,Chestnut-tailed Minla,Actinodura strigula
RFBA,Rusty-fronted Barwing,Actinodura egertoni
RBLE,Red-billed Leiothrix,Leiothrix lutea
SEME,Silver-eared Mesia,Leiothrix argentauris
RTMI,Red-tailed Minla,Minla ignotincta
RBSI,Rufous-backed Sibia,Leioptila annectens
BULI,Bugun Liocichla,Liocichla bugunorum
RFLI,Red-faced Liocichla,Liocichla phoenicea
LGBA,Large Gray Babbler,Argya malcolmi
SBBA,Slender-billed Babbler,Argya longirostris
RUBA,Rufous Babbler,Argya subrufa
JUBA,Jungle Babbler,Argya striata
YBBA,Yellow-billed Babbler,Argya affinis
COBA,Common Babbler,Argya caudata
STBA,Striated Babbler,Argya earlei
SBLA,Spot-breasted Laughingthrush,Garrulax merulinus
LNLA,Lesser Necklaced Laughingthrush,Garrulax monileger
WCLA,White-crested Laughingthrush,Garrulax leucolophus
RCLA,Rufous-chinned Laughingthrush,Ianthocincla rufogularis
MOLA,Moustached Laughingthrush,Ianthocincla cineracea
SPLA,Spotted Laughingthrush,Ianthocincla ocellata
WALA,Wayanad Laughingthrush,Pterorhinus delesserti
RVLA,Rufous-vented Laughingthrush,Pterorhinus gularis
YTLA,Yellow-throated Laughingthrush,Pterorhinus galbanus
RNLA,Rufous-necked Laughingthrush,Pterorhinus ruficollis
CBLA,Chestnut-backed Laughingthrush,Pterorhinus nuchalis
WBLA,White-browed Laughingthrush,Pterorhinus sannio
GNLA,Greater Necklaced Laughingthrush,Pterorhinus pectoralis
MVBA,Mount Victoria Babax,Pterorhinus woodi
WTLA,White-throated Laughingthrush,Pterorhinus albogularis
GSLA,Gray-sided Laughingthrush,Pterorhinus caerulatus
GOLD,Goldcrest,Regulus regulus
WALL,Wallcreeper,Tichodroma muraria
WCNU,White-cheeked Nuthatch,Sitta leucopsis
BENU,Beautiful Nuthatch,Sitta formosa
VFNU,Velvet-fronted Nuthatch,Sitta frontalis
YUNU,Yunnan Nuthatch,Sitta yunnanensis
WTNU,White-tailed Nuthatch,Sitta himalayensis
INNU,Indian Nuthatch,Sitta castanea
CBNU,Chestnut-bellied Nuthatch,Sitta cinnamoventris
CVNU,Chestnut-vented Nuthatch,Sitta nagaensis
KANU,Kashmir Nuthatch,Sitta cashmirensis
ISCR,Indian Spotted Creeper,Salpornis spilonota
HOTR,Hodgson's Treecreeper,Certhia hodgsoni
BTTR,Bar-tailed Treecreeper,Certhia himalayana
RFTR,Rusty-flanked Treecreeper,Certhia nipalensis
SITR,Sikkim Treecreeper,Certhia discolor
HUTR,Hume's Treecreeper,Certhia manipurensis
EUWR,Eurasian Wren,Troglodytes troglodytes
SPEL,Spotted Elachura,Elachura formosa
WTDI,White-throated Dipper,Cinclus cinclus
BRDI,Brown Dipper,Cinclus pallasii
AGST,Asian Glossy Starling,Aplonis panayensis
GCMY,Golden-crested Myna,Ampeliceps coronatus
CHMY,Common Hill Myna,Gracula religiosa
SHMY,Southern Hill Myna,Gracula indica
EUST,European Starling,Sturnus vulgaris
ROST,Rosy Starling,Pastor roseus
DAST,Daurian Starling,Agropsar sturninus
CCST,Chestnut-cheeked Starling,Agropsar philippensis
IPST,Indian Pied Starling,Gracupica contra
WSST,White-shouldered Starling,Sturnia sinensis
BRST,Brahminy Starling,Sturnia pagodarum
CTST,Chestnut-tailed Starling,Sturnia malabarica
MAST,Malabar Starling,Sturnia blythii
WHST,White-headed Starling,Sturnia erythropygia
RBST,Red-billed Starling,Spodiopsar sericeus
WCST,White-cheeked Starling,Spodiopsar cineraceus
COMY,Common Myna,Acridotheres tristis
BAMY,Bank Myna,Acridotheres ginginianus
JUMY,Jungle Myna,Acridotheres fuscus
COMY,Collared Myna,Acridotheres albocinctus
GRMY,Great Myna,Acridotheres grandis
SWST,Spot-winged Starling,Saroglossa spilopterus
GRAN,Grandala,Grandala coelicolor
LTTH,Long-tailed Thrush,Zoothera dixoni
ALTH,Alpine Thrush,Zoothera mollissima
HITH,Himalayan Thrush,Zoothera salimalii
DSTH,Dark-sided Thrush,Zoothera marginata
LBTH,Long-billed Thrush,Zoothera monticola
WHTH,White's Thrush,Zoothera aurea
SCTH,Scaly Thrush,Zoothera dauma
NITH,Nilgiri Thrush,Zoothera neilgherriensis
PUCO,Purple Cochoa,Cochoa purpurea
GRCO,Green Cochoa,Cochoa viridis
SITH,Siberian Thrush,Geokichla sibirica
PITH,Pied Thrush,Geokichla wardii
OHTH,Orange-headed Thrush,Geokichla citrina
CHTH,Chinese Thrush,Turdus mupinensis
MITH,Mistle Thrush,Turdus viscivorus
SOTH,Song Thrush,Turdus philomelos
CHBL,Chinese Blackbird,Turdus mandarinus
GWBL,Gray-winged Blackbird,Turdus boulboul
INBL,Indian Blackbird,Turdus simillimus
TITH,Tickell's Thrush,Turdus unicolor
BBTH,Black-breasted Thrush,Turdus dissimilis
JATH,Japanese Thrush,Turdus cardis
GSTH,Gray-sided Thrush,Turdus feae
EYTH,Eyebrowed Thrush,Turdus obscurus
TIBL,Tibetan Blackbird,Turdus maximus
WBTH,White-backed Thrush,Turdus kessleri
FIEL,Fieldfare,Turdus pilaris
WCBL,White-collared Blackbird,Turdus albocinctus
CHTH,Chestnut Thrush,Turdus rubrocanus
BTTH,Black-throated Thrush,Turdus atrogularis
RTTH,Red-throated Thrush,Turdus ruficollis
DUTH,Dusky Thrush,Turdus eunomus
NATH,Naumann's Thrush,Turdus naumanni
GSFL,Gray-streaked Flycatcher,Muscicapa griseisticta
DSFL,Dark-sided Flycatcher,Muscicapa sibirica
FEFL,Ferruginous Flycatcher,Muscicapa ferruginea
ABFL,Asian Brown Flycatcher,Muscicapa dauurica
BBFL,Brown-breasted Flycatcher,Muscicapa muttui
SPFL,Spotted Flycatcher,Muscicapa striata
RTSR,Rufous-tailed Scrub-Robin,Cercotrichas galactotes
INRO,Indian Robin,Copsychus fulicatus
OMRO,Oriental Magpie-Robin,Copsychus saularis
WRSH,White-rumped Shama,Copsychus malabaricus
ANSH,Andaman Shama,Copsychus albiventris
WTFL,White-tailed Flycatcher,Leucoptilon concretum
NISH,Nilgiri Sholakili,Sholicola major
WBSH,White-bellied Sholakili,Sholicola albiventris
LANI,Large Niltava,Niltava grandis
SMNI,Small Niltava,Niltava macgrigoriae
RBNI,Rufous-bellied Niltava,Niltava sundara
CVNI,Chinese Vivid Niltava,Niltava oatesi
BAWF,Blue-and-white Flycatcher,Cyanoptila cyanomelana
ZAFL,Zappey's Flycatcher,Cyanoptila cumatilis
NIFL,Nilgiri Flycatcher,Eumyias albicaudatus
VEFL,Verditer Flycatcher,Eumyias thalassinus
WGFL,White-gorgeted Flycatcher,Anthipes monileger
HBFL,Hainan Blue Flycatcher,Cyornis hainanus
WBBF,White-bellied Blue Flycatcher,Cyornis pallidipes
PCFL,Pale-chinned Flycatcher,Cyornis poliogenys
PBFL,Pale Blue Flycatcher,Cyornis unicolor
BTFL,Blue-throated Flycatcher,Cyornis rubeculoides
LBFL,Large Blue Flycatcher,Cyornis magnirostris
HBFL,Hill Blue Flycatcher,Cyornis whitei
TBFL,Tickell's Blue Flycatcher,Cyornis tickelliae
NJFL,Nicobar Jungle Flycatcher,Cyornis nicobaricus
RBSH,Rusty-bellied Shortwing,Brachypteryx hyperythra
LESH,Lesser Shortwing,Brachypteryx leucophris
HISH,Himalayan Shortwing,Brachypteryx cruralis
GOSH,Gould's Shortwing,Heteroxenicus stellatus
IBRO,Indian Blue Robin,Larvivora brunnea
SBRO,Siberian Blue Robin,Larvivora cyane
WBRE,White-bellied Redstart,Luscinia phaenicuroides
BLUE,Bluethroat,Luscinia svecica
MWTH,Malabar Whistling-Thrush,Myophonus horsfieldii
BWTH,Blue Whistling-Thrush,Myophonus caeruleus
LIFO,Little Forktail,Enicurus scouleri
WCFO,White-crowned Forktail,Enicurus leschenaulti
SPFO,Spotted Forktail,Enicurus maculatus
BBFO,Black-backed Forktail,Enicurus immaculatus
SBFO,Slaty-backed Forktail,Enicurus schistaceus
FIRE,Firethroat,Calliope pectardens
SIRU,Siberian Rubythroat,Calliope calliope
HIRU,Himalayan Rubythroat,Calliope pectoralis
CHRU,Chinese Rubythroat,Calliope tschebaiewi
WTRO,White-tailed Robin,Myiomela leucura
BFRO,Blue-fronted Robin,Cinclidium frontale
RFBL,Red-flanked Bluetail,Tarsiger cyanurus
HIBL,Himalayan Bluetail,Tarsiger rufilatus
RBBR,Rufous-breasted Bush-Robin,Tarsiger hyperythrus
WBBR,White-browed Bush-Robin,Tarsiger indicus
GBRO,Golden Bush-Robin,Tarsiger chrysaeus
YRFL,Yellow-rumped Flycatcher,Ficedula zanthopygia
MUFL,Mugimaki Flycatcher,Ficedula mugimaki
SBFL,Slaty-backed Flycatcher,Ficedula erithacus
BAOF,Black-and-orange Flycatcher,Ficedula nigrorufa
SBFL,Slaty-blue Flycatcher,Ficedula tricolor
SBFL,Snowy-browed Flycatcher,Ficedula hyperythra
PYFL,Pygmy Flycatcher,Ficedula hodgsoni
RGFL,Rufous-gorgeted Flycatcher,Ficedula strophiata
SAFL,Sapphire Flycatcher,Ficedula sapphira
LPFL,Little Pied Flycatcher,Ficedula westermanni
ULFL,Ultramarine Flycatcher,Ficedula superciliaris
RTFL,Rusty-tailed Flycatcher,Ficedula ruficauda
TAFL,Taiga Flycatcher,Ficedula albicilla
KAFL,Kashmir Flycatcher,Ficedula subrubra
RBFL,Red-breasted Flycatcher,Ficedula parva
BFRE,Blue-fronted Redstart,Phoenicurus frontalis
PLRE,Plumbeous Redstart,Phoenicurus fuliginosus
RBRE,Rufous-backed Redstart,Phoenicurus erythronotus
WCRE,White-capped Redstart,Phoenicurus leucocephalus
BCRE,Blue-capped Redstart,Phoenicurus coeruleocephala
CORE,Common Redstart,Phoenicurus phoenicurus
HORE,Hodgson's Redstart,Phoenicurus hodgsoni
WTRE,White-throated Redstart,Phoenicurus schisticeps
WWRE,White-winged Redstart,Phoenicurus erythrogastrus
BLRE,Black Redstart,Phoenicurus ochruros
DARE,Daurian Redstart,Phoenicurus auroreus
CBRT,Chestnut-bellied Rock-Thrush,Monticola rufiventris
BCRT,Blue-capped Rock-Thrush,Monticola cinclorhyncha
RTRT,Rufous-tailed Rock-Thrush,Monticola saxatilis
BRTH,Blue Rock-Thrush,Monticola solitarius
WHIN,Whinchat,Saxicola rubetra
WBBU,White-browed Bushchat,Saxicola macrorhynchus
WTBU,White-throated Bushchat,Saxicola insignis
SIST,Siberian Stonechat,Saxicola maurus
AMST,Amur Stonechat,Saxicola stejnegeri
WTST,White-tailed Stonechat,Saxicola leucurus
PIBU,Pied Bushchat,Saxicola caprata
JEBU,Jerdon's Bushchat,Saxicola jerdoni
GRBU,Gray Bushchat,Saxicola ferreus
NOWH,Northern Wheatear,Oenanthe oenanthe
ISWH,Isabelline Wheatear,Oenanthe isabellina
DEWH,Desert Wheatear,Oenanthe deserti
PIWH,Pied Wheatear,Oenanthe pleschanka
BRCH,Brown Rock Chat,Oenanthe fusca
VAWH,Variable Wheatear,Oenanthe picata
HUWH,Hume's Wheatear,Oenanthe albonigra
FIWH,Finsch's Wheatear,Oenanthe finschii
PEWH,Persian Wheatear,Oenanthe chrysopygia
BOWA,Bohemian Waxwing,Bombycilla garrulus
HYPO,Hypocolius,Hypocolius ampelinus
TBFL,Thick-billed Flowerpecker,Pachyglossa agilis
YVFL,Yellow-vented Flowerpecker,Pachyglossa chrysorrhea
YBFL,Yellow-bellied Flowerpecker,Pachyglossa melanozantha
PBFL,Pale-billed Flowerpecker,Dicaeum erythrorhynchos
NIFL,Nilgiri Flowerpecker,Dicaeum concolor
PLFL,Plain Flowerpecker,Dicaeum minullum
ANFL,Andaman Flowerpecker,Dicaeum virescens
FBFL,Fire-breasted Flowerpecker,Dicaeum ignipectus
SBFL,Scarlet-backed Flowerpecker,Dicaeum cruentatum
RCSU,Ruby-cheeked Sunbird,Chalcoparia singalensis
PRSU,Purple-rumped Sunbird,Leptocoma zeylonica
CBSU,Crimson-backed Sunbird,Leptocoma minima
VHSU,Van Hasselt's Sunbird,Leptocoma brasiliana
PUSU,Purple Sunbird,Cinnyris asiaticus
ORSU,Ornate Sunbird,Cinnyris ornatus
LOSU,Loten's Sunbird,Cinnyris lotenius
FTSU,Fire-tailed Sunbird,Aethopyga ignicauda
BTSU,Black-throated Sunbird,Aethopyga saturata
MGSU,Mrs. Gould's Sunbird,Aethopyga gouldiae
GTSU,Green-tailed Sunbird,Aethopyga nipalensis
VISU,Vigors's Sunbird,Aethopyga vigorsii
CRSU,Crimson Sunbird,Aethopyga siparaja
LISP,Little Spiderhunter,Arachnothera longirostra
STSP,Streaked Spiderhunter,Arachnothera magna
AFBL,Asian Fairy-bluebird,Irena puella
BWLE,Blue-winged Leafbird,Chloropsis moluccensis
JELE,Jerdon's Leafbird,Chloropsis jerdoni
GFLE,Golden-fronted Leafbird,Chloropsis aurifrons
OBLE,Orange-bellied Leafbird,Chloropsis hardwickii
STWE,Streaked Weaver,Ploceus manyar
BAWE,Baya Weaver,Ploceus philippinus
FIWE,Finn's Weaver,Ploceus megarhynchus
BBWE,Black-breasted Weaver,Ploceus benghalensis
INSI,Indian Silverbill,Euodice malabarica
SBMU,Scaly-breasted Munia,Lonchura punctulata
BTMU,Black-throated Munia,Lonchura kelaarti
WRMU,White-rumped Munia,Lonchura striata
TRMU,Tricolored Munia,Lonchura malacca
CHMU,Chestnut Munia,Lonchura atricapilla
GRAV,Green Avadavat,Amandava formosa
REAV,Red Avadavat,Amandava amandava
ALAC,Alpine Accentor,Prunella collaris
ALAC,Altai Accentor,Prunella himalayana
ROAC,Robin Accentor,Prunella rubeculoides
RBAC,Rufous-breasted Accentor,Prunella strophiata
BRAC,Brown Accentor,Prunella fulvescens
BTAC,Black-throated Accentor,Prunella atrogularis
MBAC,Maroon-backed Accentor,Prunella immaculata
HOSP,House Sparrow,Passer domesticus
SPSP,Spanish Sparrow,Passer hispaniolensis
SISP,Sind Sparrow,Passer pyrrhonotus
RUSP,Russet Sparrow,Passer cinnamomeus
ETSP,Eurasian Tree Sparrow,Passer montanus
YTSP,Yellow-throated Sparrow,Gymnoris xanthocollis
ROSP,Rock Sparrow,Petronia petronia
PARO,Pale Rockfinch,Carpospiza brachydactyla
BWSN,Black-winged Snowfinch,Montifringilla adamsi
WRSN,White-rumped Snowfinch,Onychostruthus taczanowskii
RNSN,Rufous-necked Snowfinch,Pyrgilauda ruficollis
BLSN,Blanford's Snowfinch,Pyrgilauda blanfordi
FOWA,Forest Wagtail,Dendronanthus indicus
GRWA,Gray Wagtail,Motacilla cinerea
WYWA,Western Yellow Wagtail,Motacilla flava
EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis
CIWA,Citrine Wagtail,Motacilla citreola
WBWA,White-browed Wagtail,Motacilla maderaspatensis
WHWA,White Wagtail,Motacilla alba
RIPI,Richard's Pipit,Anthus richardi
PAPI,Paddyfield Pipit,Anthus rufulus
LBPI,Long-billed Pipit,Anthus similis
BLPI,Blyth's Pipit,Anthus godlewskii
TAPI,Tawny Pipit,Anthus campestris
NIPI,Nilgiri Pipit,Anthus nilghiriensis
UPPI,Upland Pipit,Anthus sylvanus
MEPI,Meadow Pipit,Anthus pratensis
ROPI,Rosy Pipit,Anthus roseatus
TRPI,Tree Pipit,Anthus trivialis
OBPI,Olive-backed Pipit,Anthus hodgsoni
RTPI,Red-throated Pipit,Anthus cervinus
WAPI,Water Pipit,Anthus spinoletta
SIPI,Siberian Pipit,Anthus japonicus
COCH,Common Chaffinch,Fringilla coelebs
BRAM,Brambling,Fringilla montifringilla
BAYG,Black-and-yellow Grosbeak,Mycerobas icterioides
COGR,Collared Grosbeak,Mycerobas affinis
SWGR,Spot-winged Grosbeak,Mycerobas melanozanthos
WWGR,White-winged Grosbeak,Mycerobas carnipes
HAWF,Hawfinch,Coccothraustes coccothraustes
CORO,Common Rosefinch,Carpodacus erythrinus
SCFI,Scarlet Finch,Carpodacus sipahi
BLRO,Blyth's Rosefinch,Carpodacus grandis
HBRO,Himalayan Beautiful Rosefinch,Carpodacus pulcherrimus
PRRO,Pink-rumped Rosefinch,Carpodacus waltoni
DRRO,Dark-rumped Rosefinch,Carpodacus edwardsii
PBRO,Pink-browed Rosefinch,Carpodacus rodochroa
SWRO,Spot-winged Rosefinch,Carpodacus rodopeplus
VIRO,Vinaceous Rosefinch,Carpodacus vinaceus
PARO,Pale Rosefinch,Carpodacus stoliczkae
SIRO,Sillem's Rosefinch,Carpodacus sillemi
STRO,Streaked Rosefinch,Carpodacus rubicilloides
GRRO,Great Rosefinch,Carpodacus rubicilla
RFRO,Red-fronted Rosefinch,Carpodacus puniceus
CBFI,Crimson-browed Finch,Carpodacus subhimachalus
TBRO,Three-banded Rosefinch,Carpodacus trifasciatus
HWBR,Himalayan White-browed Rosefinch,Carpodacus thura
CWBR,Chinese White-browed Rosefinch,Carpodacus dubius
BRBU,Brown Bullfinch,Pyrrhula nipalensis
ORBU,Orange Bullfinch,Pyrrhula aurantiaca
RHBU,Red-headed Bullfinch,Pyrrhula erythrocephala
GHBU,Gray-headed Bullfinch,Pyrrhula erythaca
CWFI,Crimson-winged Finch,Rhodopechys sanguineus
TRFI,Trumpeter Finch,Bucanetes githagineus
MOFI,Mongolian Finch,Bucanetes mongolicus
BLRO,Blanford's Rosefinch,Agraphospiza rubescens
GNFI,Gold-naped Finch,Pyrrhoplectes epauletta
SPFI,Spectacled Finch,Callacanthis burtoni
DBRO,Dark-breasted Rosefinch,Procarduelis nipalensis
PMFI,Plain Mountain Finch,Leucosticte nemoricola
BHMF,Black-headed Mountain Finch,Leucosticte brandti
DEFI,Desert Finch,Rhodospiza obsoleta
EUGR,European Greenfinch,Chloris chloris
YBGR,Yellow-breasted Greenfinch,Chloris spinoides
BHGR,Black-headed Greenfinch,Chloris ambigua
TWIT,Twite,Linaria flavirostris
EULI,Eurasian Linnet,Linaria cannabina
RECR,Red Crossbill,Loxia curvirostra
GCGO,Gray-crowned Goldfinch,Carduelis caniceps
FFSE,Fire-fronted Serin,Serinus pusillus
TISE,Tibetan Serin,Spinus thibetanus
EUSI,Eurasian Siskin,Spinus spinus
LALO,Lapland Longspur,Calcarius lapponicus
CRBU,Crested Bunting,Emberiza lathami
BHBU,Black-headed Bunting,Emberiza melanocephala
RHBU,Red-headed Bunting,Emberiza bruniceps
CEBU,Chestnut-eared Bunting,Emberiza fucata
ROBU,Rock Bunting,Emberiza cia
GOBU,Godlewski's Bunting,Emberiza godlewskii
MEBU,Meadow Bunting,Emberiza cioides
WCBU,White-capped Bunting,Emberiza stewarti
YELL,Yellowhammer,Emberiza citrinella
PIBU,Pine Bunting,Emberiza leucocephalos
GNBU,Gray-necked Bunting,Emberiza buchanani
ORBU,Ortolan Bunting,Emberiza hortulana
STBU,Striolated Bunting,Emberiza striolata
REBU,Reed Bunting,Emberiza schoeniclus
YBBU,Yellow-breasted Bunting,Emberiza aureola
LIBU,Little Bunting,Emberiza pusilla
RUBU,Rustic Bunting,Emberiza rustica
BFBU,Black-faced Bunting,Emberiza spodocephala
CHBU,Chestnut Bunting,Emberiza rutila
YBBU,Yellow-browed Bunting,Emberiza chrysophrys
TRBU,Tristram's Bunting,Emberiza tristrami
